date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:33	111/111	---MCZ	200	added ('OK')	text/plain	date:Sun,%2003%20Mar%202024%2009:47:32%20GMT	https://artforumhair.com/robots.txt		(from )
11:47:34	51677/51677	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202024%2009:47:33%20GMT	https://artforumhair.com/	artforum/artforum/artforumhair.com/index.html	(from )
11:47:34	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2003%20Mar%202024%2009:47:34%20GMT	https://artforumhair.com/xmlrpc.php	artforum/artforum/artforumhair.com/xmlrpc.php	(from https://artforumhair.com/)
11:47:36	20307/20307	---MCZ	200	added ('OK')	text/css	etag:W/%2265ca615f-4f53%22	https://artforumhair.com/wp-content/plugins/photo-gallery/booster/assets/css/global.css?ver=1.0.0	artforum/artforum/artforumhair.com/wp-content/plugins/photo-gallery/booster/assets/css/global8a54.css	(from https://artforumhair.com/)
11:47:36	2295/2295	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e88d33b64ffbc5dad82412f9333d4492%22	https://artforumhair.com/comments/feed/	artforum/artforum/artforumhair.com/comments/feed/index.html	(from https://artforumhair.com/)
11:47:37	110147/110147	---MCZ	200	added ('OK')	text/css	etag:W/%2265d8534f-1ae43%22	https://artforumhair.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-includes/css/dist/block-library/style.min84fc.css	(from https://artforumhair.com/)
11:47:38	9338/9338	---MCZ	200	added ('OK')	text/css	etag:W/%2265b93d29-247a%22	https://artforumhair.com/wp-content/plugins/multilanguage/css/style.css?ver=1.4.6	artforum/artforum/artforumhair.com/wp-content/plugins/multilanguage/css/style5f04.css	(from https://artforumhair.com/)
11:47:38	46049/46049	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e88d33b64ffbc5dad82412f9333d4492%22	https://artforumhair.com/feed/	artforum/artforum/artforumhair.com/feed/index.html	(from https://artforumhair.com/)
11:47:39	4028/4028	---MCZ	200	added ('OK')	text/css	etag:W/%2264de6549-fbc%22	https://artforumhair.com/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts.css?ver=0.0.1	artforum/artforum/artforumhair.com/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts622c.css	(from https://artforumhair.com/)
11:47:39	7610/7610	---MCZ	200	added ('OK')	text/css	etag:W/%2264de654a-1dba%22	https://artforumhair.com/wp-content/plugins/photo-gallery/css/sumoselect.min.css?ver=3.4.6	artforum/artforum/artforumhair.com/wp-content/plugins/photo-gallery/css/sumoselect.min9bf7.css	(from https://artforumhair.com/)
11:47:41	42839/42839	---MCZ	200	added ('OK')	text/css	etag:W/%2265a81b42-a757%22	https://artforumhair.com/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min.css?ver=3.1.5	artforum/artforum/artforumhair.com/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.minc6bd.css	(from https://artforumhair.com/)
11:47:42	45548/45548	---MCZ	200	added ('OK')	text/css	etag:W/%2265ca615e-b1ec%22	https://artforumhair.com/wp-content/plugins/photo-gallery/css/styles.min.css?ver=1.8.21	artforum/artforum/artforumhair.com/wp-content/plugins/photo-gallery/css/styles.min0445.css	(from https://artforumhair.com/)
11:47:43	15180/15180	---MCZ	200	added ('OK')	text/css	etag:W/%2256b1b79c-3b4c%22	https://artforumhair.com/wp-content/themes/artforum/style.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/style84fc.css	(from https://artforumhair.com/)
11:47:43	139/139	---MCZ	200	added ('OK')	text/css	etag:W/%2256adc257-8b%22	https://artforumhair.com/wp-content/themes/artforum/editor-style.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/editor-style84fc.css	(from https://artforumhair.com/)
11:47:44	3400/3400	---MCZ	200	added ('OK')	text/css	etag:W/%2256adc257-d48%22	https://artforumhair.com/wp-content/themes/artforum/css/nivo-slider.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/css/nivo-slider84fc.css	(from https://artforumhair.com/)
11:47:46	5332/5332	---MCZ	200	added ('OK')	text/css	etag:W/%2256adc257-14d4%22	https://artforumhair.com/wp-content/themes/artforum/css/responsive.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/css/responsive84fc.css	(from https://artforumhair.com/)
11:47:47	15208/15208	---MCZ	200	added ('OK')	text/css	etag:W/%2256adc257-3b68%22	https://artforumhair.com/wp-content/themes/artforum/css/style_base.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/css/style_base84fc.css	(from https://artforumhair.com/)
11:47:48	72217/72217	---MCZ	200	added ('OK')	text/css	etag:W/%2256adc257-11a19%22	https://artforumhair.com/wp-content/themes/artforum/css/animation.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/css/animation84fc.css	(from https://artforumhair.com/)
11:47:48	703/703	---MCZ	200	added ('OK')	text/css	etag:W/%2256adc257-2bf%22	https://artforumhair.com/wp-content/themes/artforum/grayscale-effects/css/grayscale.css?ver=6.4.3	artforum/artforum/artforumhair.com/wp-content/themes/artforum/grayscale-effects/css/grayscale84fc.css	(from https://artforumhair.com/)
11:47:50	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d85350-15601%22	https://artforumhair.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	artforum/artforum/artforumhair.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://artforumhair.com/)
11:47:51	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d85350-3509%22	https://artforumhair.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	artforum/artforum/artforumhair.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://artforumhair.com/)
